,loyalty_number,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month
0,480934,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,,
1,549612,Alberta,Edmonton,T3G 6Y6,Male,College,63450.67294726457,Divorced,Star,3839.61,Standard,2016,3,,
2,429460,British Columbia,Vancouver,V6E 3D9,Male,College,67038.52929317536,Single,Star,3839.75,Standard,2014,7,2018.0,1.0
3,608370,Ontario,Toronto,P1W 1K4,Male,College,70975.92015157723,Single,Star,3839.75,Standard,2013,2,,
4,530508,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,,
5,193662,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,,
6,927943,Ontario,Toronto,P5S 6R4,Female,College,64344.800574980894,Single,Star,3857.95,Standard,2014,6,,
7,188893,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,,
8,852392,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,,
9,866307,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,,
10,932823,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,,
11,144514,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618.0,Married,Star,3864.78,Standard,2016,6,,
12,611765,Quebec,Quebec City,G1B 3L5,Male,Bachelor,90175.0,Single,Star,3867.97,Standard,2018,1,,
13,988178,Quebec,Montreal,H4G 3T4,Male,College,63135.23060254866,Single,Star,3871.07,Standard,2013,10,,
14,286114,Ontario,Toronto,M2M 7K8,Female,College,66626.05083865293,Single,Star,3872.22,Standard,2016,11,,
15,205785,Ontario,Toronto,M2M 6J7,Male,Master,128118.0,Married,Star,3873.65,Standard,2016,8,,
16,735304,Alberta,Edmonton,T3G 6Y6,Female,Master,128118.0,Married,Star,3873.65,Standard,2016,12,,
17,438936,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092.0,Married,Star,3878.77,Standard,2013,10,,
18,172755,Alberta,Edmonton,T3G 6Y6,Female,College,63353.818574867815,Single,Aurora,5303.76,2018 Promotion,2018,3,,
19,354730,New Brunswick,Fredericton,E3B 2H2,Female,College,70776.53722828504,Married,Star,3885.46,Standard,2014,10,2018.0,1.0
